"Time","Rejection Rate"
1760345960000,0
1760345965000,0
1760345970000,0
1760345975000,0
1760345980000,0
1760345985000,0
1760345990000,0
1760345995000,0
1760346000000,0
1760346005000,0
1760346010000,0
1760346015000,0
1760346020000,0
1760346025000,0
1760346030000,0
1760346035000,0
1760346040000,0
1760346045000,0
1760346050000,0
1760346055000,0
1760346060000,0
1760346065000,0
1760346070000,0
1760346075000,0
1760346080000,0
1760346085000,0
1760346090000,0
1760346095000,0
1760346100000,0
1760346105000,0
1760346110000,0
1760346115000,0
1760346120000,0
1760346125000,0
1760346130000,0.14232252535352094
1760346135000,0.285673475217826
1760346140000,0.03570918440222825
1760346145000,0.0714183662541649
1760346150000,0.14283672230716443
1760346155000,0.15623047119110112
1760346160000,0.30299356735566696
1760346165000,0
1760346170000,0.18179614592170648
1760346175000,0.05881660981061052
1760346180000,0.24239486122894197
1760346185000,0
1760346190000,0.30299356735566696
1760346195000,0.2352664392424421
1760346200000,0
1760346205000,0.02940830490530526
1760346210000,0.02940830490530526
1760346215000,0
1760346220000,0
1760346225000,0
1760346230000,0
1760346235000,0
1760346240000,0
1760346245000,0
1760346250000,0
1760346255000,0
1760346260000,0
1760346265000,0
1760346270000,0
1760346275000,0
1760346280000,0
1760346285000,0
1760346290000,0
1760346295000,0
1760346300000,0
1760346305000,0
1760346310000,0
1760346315000,0
1760346320000,0
1760346325000,0
1760346330000,0
1760346335000,0
1760346340000,0
1760346345000,0
1760346350000,0
1760346355000,0
1760346360000,0
1760346365000,0
1760346370000,0
1760346375000,0
1760346380000,0
1760346385000,0
1760346390000,0
1760346395000,0
1760346400000,0
1760346405000,0
1760346410000,0
1760346415000,0
1760346420000,0
1760346425000,0
1760346430000,0
1760346435000,0
1760346440000,0
1760346445000,0
1760346450000,0
1760346455000,0
1760346460000,0
1760346465000,0
1760346470000,0
1760346475000,0
1760346480000,0
1760346485000,0
1760346490000,0
1760346495000,0
1760346500000,0
1760346505000,0
1760346510000,0
1760346515000,0
1760346520000,0
1760346525000,0
1760346530000,0
1760346535000,0
1760346540000,0
1760346545000,0
1760346550000,0
1760346555000,0
1760346560000,0
1760346565000,0
1760346570000,0
1760346575000,0
1760346580000,0
1760346585000,0
1760346590000,0
1760346595000,0
1760346600000,0
1760346605000,0
1760346610000,0
1760346615000,0
1760346620000,0
