"Time","Rejection Rate"
1760348320000,0
1760348325000,0
1760348330000,0
1760348335000,0
1760348340000,0
1760348345000,0
1760348350000,0
1760348355000,0
1760348360000,0
1760348365000,0
1760348370000,0
1760348375000,0
1760348380000,0
1760348385000,0
1760348390000,0
1760348395000,0
1760348400000,0
1760348405000,0
1760348410000,0
1760348415000,0
1760348420000,0
1760348425000,0
1760348430000,0
1760348435000,0
1760348440000,0
1760348445000,0
1760348450000,0
1760348455000,0
1760348460000,0
1760348465000,0
1760348470000,0
1760348475000,0
1760348480000,0
1760348485000,0
1760348490000,0
1760348495000,0
1760348500000,0
1760348505000,0
1760348510000,0
1760348515000,0
1760348520000,0
1760348525000,0
1760348530000,0
1760348535000,0
1760348540000,0
1760348545000,0
1760348550000,0
1760348555000,0
1760348560000,0
1760348565000,0
1760348570000,0
1760348575000,0
1760348580000,0
1760348585000,0
1760348590000,0
1760348595000,0
1760348600000,0
1760348605000,0
1760348610000,0
1760348615000,0
1760348620000,0
1760348625000,0
1760348630000,0
1760348635000,0
1760348640000,0
1760348645000,0
1760348650000,0
1760348655000,0
1760348660000,0
1760348665000,0
1760348670000,0
1760348675000,0
1760348680000,0
1760348685000,0
1760348690000,0
1760348695000,0
1760348700000,0
1760348705000,0
1760348710000,0
1760348715000,0
1760348720000,0
1760348725000,0
1760348730000,0
1760348735000,0
1760348740000,0
1760348745000,0
1760348750000,0
1760348755000,0
1760348760000,0
1760348765000,0
1760348770000,0
1760348775000,0
1760348780000,0
1760348785000,0
1760348790000,0
1760348795000,0
1760348800000,0
1760348805000,0
1760348810000,0
1760348815000,0
1760348820000,0
1760348825000,0
1760348830000,0
1760348835000,0
1760348840000,0
1760348845000,0
1760348850000,0
1760348855000,0
1760348860000,0
1760348865000,0
1760348870000,0
1760348875000,0
1760348880000,0
1760348885000,0
1760348890000,0
1760348895000,0
1760348900000,0
1760348905000,0
1760348910000,0
1760348915000,0
1760348920000,0
1760348925000,0
1760348930000,0
1760348935000,0
1760348940000,0
1760348945000,0
1760348950000,0
1760348955000,0
1760348960000,0
1760348965000,0
1760348970000,0
