"Time","Active Replicas"
1761307225000,1
1761307230000,1
1761307235000,1
1761307240000,1
1761307245000,1
1761307250000,1
1761307255000,1
1761307260000,1
1761307265000,1
1761307270000,4
1761307275000,4
1761307280000,4
1761307285000,4
1761307290000,4
1761307295000,4
1761307300000,4
1761307305000,4
1761307310000,4
1761307315000,4
1761307320000,4
1761307325000,1
1761307330000,7
1761307335000,7
1761307340000,8
1761307345000,8
1761307350000,8
1761307355000,8
1761307360000,8
1761307365000,1
1761307370000,1
1761307375000,1
1761307380000,6
1761307385000,6
1761307390000,10
1761307395000,10
1761307400000,10
1761307405000,10
1761307410000,10
1761307415000,10
1761307420000,10
1761307425000,10
1761307430000,10
1761307435000,10
1761307440000,10
1761307445000,10
1761307450000,10
1761307455000,10
1761307460000,10
1761307465000,10
1761307470000,10
1761307475000,10
1761307480000,1
1761307485000,1
1761307490000,1
1761307495000,1
1761307500000,1
1761307505000,1
1761307510000,2
1761307515000,7
1761307520000,8
1761307525000,8
1761307530000,8
1761307535000,8
1761307540000,10
1761307545000,10
1761307550000,10
1761307555000,10
1761307560000,10
1761307565000,10
1761307570000,10
1761307575000,10
1761307580000,10
1761307585000,10
1761307590000,1
1761307595000,1
1761307600000,1
1761307605000,1
1761307610000,1
1761307615000,1
1761307620000,5
1761307625000,5
1761307630000,5
1761307635000,5
1761307640000,5
1761307645000,5
1761307650000,4
1761307655000,4
1761307660000,7
1761307665000,7
1761307670000,7
1761307675000,7
1761307680000,7
1761307685000,7
1761307690000,10
1761307695000,10
1761307700000,10
1761307705000,10
1761307710000,10
1761307715000,10
1761307720000,10
1761307725000,10
1761307730000,10
1761307735000,10
1761307740000,10
1761307745000,10
1761307750000,10
1761307755000,10
1761307760000,10
1761307765000,10
1761307770000,10
1761307775000,10
1761307780000,1
1761307785000,1
1761307790000,1
1761307795000,1
1761307800000,1
1761307805000,1
1761307810000,1
1761307815000,8
1761307820000,8
1761307825000,8
1761307830000,10
1761307835000,10
1761307840000,10
1761307845000,10
1761307850000,10
1761307855000,10
1761307860000,10
1761307865000,10
1761307870000,1
1761307875000,1
1761307880000,1
1761307885000,1
1761307890000,1
1761307895000,1
1761307900000,3
1761307905000,3
1761307910000,3
1761307915000,3
1761307920000,3
1761307925000,3
1761307930000,3
1761307935000,5
1761307940000,6
1761307945000,6
1761307950000,6
1761307955000,5
1761307960000,8
1761307965000,8
1761307970000,8
1761307975000,8
1761307980000,8
1761307985000,8
1761307990000,10
1761307995000,10
1761308000000,10
1761308005000,10
1761308010000,10
1761308015000,10
1761308020000,10
1761308025000,10
1761308030000,10
1761308035000,10
1761308040000,10
1761308045000,10
1761308050000,10
1761308055000,10
1761308060000,10
1761308065000,10
1761308070000,10
1761308075000,10
1761308080000,10
1761308085000,1
1761308090000,1
1761308095000,1
1761308100000,1
1761308105000,1
1761308110000,1
1761308115000,8
1761308120000,8
1761308125000,8
1761308130000,6
1761308135000,6
1761308140000,8
1761308145000,10
1761308150000,10
1761308155000,10
1761308160000,10
1761308165000,10
1761308170000,10
1761308175000,1
1761308180000,1
1761308185000,1
1761308190000,1
1761308195000,1
1761308200000,1
1761308205000,3
1761308210000,3
1761308215000,3
1761308220000,3
1761308225000,3
1761308230000,3
1761308235000,5
1761308240000,5
1761308245000,6
1761308250000,6
1761308255000,8
1761308260000,8
1761308265000,8
1761308270000,8
1761308275000,4
1761308280000,4
1761308285000,4
1761308290000,4
1761308295000,9
1761308300000,9
1761308305000,9
1761308310000,10
1761308315000,10
1761308320000,10
1761308325000,10
1761308330000,10
1761308335000,10
1761308340000,10
1761308345000,10
1761308350000,10
1761308355000,10
1761308360000,10
1761308365000,10
1761308370000,10
1761308375000,10
1761308380000,10
1761308385000,1
1761308390000,1
1761308395000,1
1761308400000,1
1761308405000,1
1761308410000,1
1761308415000,1
1761308420000,1
1761308425000,1
1761308430000,1
1761308435000,1
1761308440000,1
1761308445000,1
