"Time","K8s Target Replicas"
1761309285000,1
1761309290000,1
1761309295000,1
1761309300000,1
1761309305000,8
1761309310000,8
1761309315000,5
1761309320000,5
1761309325000,5
1761309330000,5
1761309335000,5
1761309340000,5
1761309345000,1
1761309350000,1
1761309355000,1
1761309360000,5
1761309365000,6
1761309370000,6
1761309375000,6
1761309380000,6
1761309385000,6
1761309390000,6
1761309395000,6
1761309400000,6
1761309405000,4
1761309410000,4
1761309415000,4
1761309420000,8
1761309425000,9
1761309430000,10
1761309435000,10
1761309440000,10
1761309445000,10
1761309450000,10
1761309455000,9
1761309460000,10
1761309465000,10
1761309470000,10
1761309475000,10
1761309480000,10
1761309485000,10
1761309490000,10
1761309495000,10
1761309500000,10
1761309505000,10
1761309510000,1
1761309515000,1
1761309520000,1
1761309525000,1
1761309530000,1
1761309535000,4
1761309540000,6
1761309545000,6
1761309550000,6
1761309555000,6
1761309560000,7
1761309565000,8
1761309570000,8
1761309575000,6
1761309580000,6
1761309585000,7
1761309590000,7
1761309595000,7
1761309600000,7
1761309605000,7
1761309610000,7
1761309615000,7
1761309620000,7
1761309625000,7
1761309630000,1
1761309635000,1
1761309640000,1
1761309645000,1
1761309650000,1
1761309655000,4
1761309660000,4
1761309665000,5
1761309670000,5
1761309675000,5
1761309680000,5
1761309685000,5
1761309690000,6
1761309695000,6
1761309700000,6
1761309705000,6
1761309710000,5
1761309715000,6
1761309720000,7
1761309725000,8
1761309730000,9
1761309735000,9
1761309740000,9
1761309745000,9
1761309750000,9
1761309755000,9
1761309760000,10
1761309765000,10
1761309770000,10
1761309775000,10
1761309780000,10
1761309785000,10
1761309790000,10
1761309795000,10
1761309800000,10
1761309805000,10
1761309810000,1
1761309815000,1
1761309820000,1
1761309825000,1
1761309830000,1
1761309835000,1
1761309840000,6
1761309845000,8
1761309850000,8
1761309855000,8
1761309860000,8
1761309865000,7
1761309870000,7
1761309875000,7
1761309880000,10
1761309885000,10
1761309890000,10
1761309895000,10
1761309900000,10
1761309905000,10
1761309910000,10
1761309915000,1
1761309920000,1
1761309925000,1
1761309930000,1
1761309935000,1
1761309940000,1
1761309945000,4
1761309950000,4
1761309955000,4
1761309960000,4
1761309965000,4
1761309970000,6
1761309975000,6
1761309980000,6
1761309985000,7
1761309990000,7
1761309995000,7
1761310000000,7
1761310005000,7
1761310010000,7
1761310015000,7
1761310020000,7
1761310025000,7
1761310030000,5
1761310035000,10
1761310040000,10
1761310045000,10
1761310050000,10
1761310055000,10
1761310060000,10
1761310065000,10
1761310070000,10
1761310075000,10
1761310080000,10
1761310085000,9
1761310090000,9
1761310095000,9
1761310100000,9
1761310105000,10
1761310110000,10
1761310115000,10
1761310120000,10
1761310125000,10
1761310130000,10
1761310135000,1
1761310140000,1
1761310145000,1
1761310150000,1
1761310155000,6
1761310160000,6
1761310165000,8
1761310170000,8
1761310175000,10
1761310180000,10
1761310185000,10
1761310190000,10
1761310195000,10
1761310200000,10
1761310205000,10
1761310210000,10
1761310215000,10
1761310220000,10
1761310225000,1
1761310230000,1
1761310235000,1
1761310240000,1
1761310245000,1
1761310250000,1
1761310255000,1
1761310260000,6
1761310265000,6
1761310270000,6
1761310275000,6
1761310280000,10
1761310285000,10
1761310290000,10
1761310295000,10
1761310300000,10
1761310305000,10
1761310310000,10
1761310315000,1
1761310320000,1
1761310325000,5
1761310330000,5
1761310335000,5
1761310340000,10
1761310345000,10
1761310350000,10
1761310355000,10
1761310360000,10
1761310365000,10
1761310370000,10
1761310375000,10
1761310380000,10
1761310385000,10
1761310390000,10
1761310395000,10
1761310400000,10
1761310405000,1
1761310410000,1
1761310415000,1
1761310420000,1
1761310425000,1
1761310430000,1
1761310435000,1
1761310440000,10
1761310445000,10
1761310450000,10
1761310455000,10
1761310460000,10
1761310465000,10
1761310470000,1
1761310475000,1
