"Time","Rejection Rate"
1760893075000,0
1760893080000,0
1760893085000,0
1760893090000,0
1760893095000,0
1760893100000,0
1760893105000,0
1760893110000,0
1760893115000,0
1760893120000,0
1760893125000,0
1760893130000,0
1760893135000,0
1760893140000,0
1760893145000,0
1760893150000,0
1760893155000,0
1760893160000,0
1760893165000,0
1760893170000,0
1760893175000,0
1760893180000,0
1760893185000,0
1760893190000,0
1760893195000,0
1760893200000,0
1760893205000,0
1760893210000,0
1760893215000,0
1760893220000,0
1760893225000,0
1760893230000,0
1760893235000,0
1760893240000,0
1760893245000,0
1760893250000,0
1760893255000,0
1760893260000,0
1760893265000,0
1760893270000,0
1760893275000,0
1760893280000,0
1760893285000,0
1760893290000,0
1760893295000,0
1760893300000,0
1760893305000,0
1760893310000,0
1760893315000,0
1760893320000,0
1760893325000,0
1760893330000,0
1760893335000,0
1760893340000,0
1760893345000,0
1760893350000,0
1760893355000,0
1760893360000,0
1760893365000,0
1760893370000,0
1760893375000,0
1760893380000,0
1760893385000,0
1760893390000,0
1760893395000,0
1760893400000,0
1760893405000,0
1760893410000,0
1760893415000,0
1760893420000,0
1760893425000,0
1760893430000,0
1760893435000,0
1760893440000,0
1760893445000,0
1760893450000,0
1760893455000,0
1760893460000,0
1760893465000,0
1760893470000,0
1760893475000,0
1760893480000,0
1760893485000,0
1760893490000,0
1760893495000,0
1760893500000,0
1760893505000,0
1760893510000,0
1760893515000,0
1760893520000,0
1760893525000,0
1760893530000,0
1760893535000,0
1760893540000,0
1760893545000,0
1760893550000,0.21851941622162985
1760893555000,0
1760893560000,0
1760893565000,0
1760893570000,0
1760893575000,0
1760893580000,0
1760893585000,0
1760893590000,0
1760893595000,0
1760893600000,0
1760893605000,0
1760893610000,0
1760893615000,0
1760893620000,0
1760893625000,0
1760893630000,0
1760893635000,0
1760893640000,0
1760893645000,0
1760893650000,0
1760893655000,0
1760893660000,0
1760893665000,0
1760893670000,0
1760893675000,0
1760893680000,0
1760893685000,0
1760893690000,0
1760893695000,0
1760893700000,0
1760893705000,0
1760893710000,0
1760893715000,0
1760893720000,0
1760893725000,0
1760893730000,0
1760893735000,0
1760893740000,0
1760893745000,0
1760893750000,0
1760893755000,0
1760893760000,0
1760893765000,0
1760893770000,0
1760893775000,0
1760893780000,0
1760893785000,0
1760893790000,0
1760893795000,0.24997916319516786
1760893800000,0.3999644476046574
1760893805000,0
1760893810000,0.01960630538781272
1760893815000,0
1760893820000,0
1760893825000,0
1760893830000,0
1760893835000,0
1760893840000,0.020406497428781326
1760893845000,0
1760893850000,0
1760893855000,0
1760893860000,0
1760893865000,0
1760893870000,0
1760893875000,0
1760893880000,0
1760893885000,0
1760893890000,0
1760893895000,0
1760893900000,0
1760893905000,0
1760893910000,0
1760893915000,0
1760893920000,0
1760893925000,0
1760893930000,0
1760893935000,0
1760893940000,0
1760893945000,0
1760893950000,0
1760893955000,0
1760893960000,0
1760893965000,0
1760893970000,0
1760893975000,0
1760893980000,0
1760893985000,0
1760893990000,0
1760893995000,0
1760894000000,0
1760894005000,0
1760894010000,0
1760894015000,0
1760894020000,0
1760894025000,0
1760894030000,0
1760894035000,0.19443363447446108
1760894040000,0
1760894045000,0.19317303539415212
1760894050000,0
1760894055000,0
1760894060000,0
1760894065000,0
1760894070000,0
1760894075000,0
1760894080000,0
1760894085000,0
1760894090000,0
1760894095000,0
1760894100000,0
1760894105000,0
1760894110000,0
1760894115000,0
1760894120000,0
1760894125000,0
1760894130000,0
1760894135000,0
1760894140000,0
1760894145000,0
1760894150000,0
1760894155000,0
1760894160000,0
1760894165000,0
1760894170000,0
1760894175000,0
1760894180000,0
1760894185000,0
1760894190000,0
1760894195000,0
1760894200000,0
1760894205000,0
1760894210000,0
1760894215000,0
1760894220000,0
1760894225000,0
1760894230000,0
1760894235000,0
1760894240000,0
1760894245000,0
1760894250000,0
1760894255000,0
1760894260000,0
1760894265000,0
1760894270000,0
1760894275000,0
1760894280000,0
1760894285000,0
1760894290000,0
1760894295000,0
1760894300000,0
1760894305000,0.23998080153587714
1760894310000,0
1760894315000,0
1760894320000,0
1760894325000,0
1760894330000,0
1760894335000,0
1760894340000,0
1760894345000,0
1760894350000,0
1760894355000,0
1760894360000,0
1760894365000,0
1760894370000,0
1760894375000,0
