"Time","K8s Target Replicas"
1761494520000,1
1761494525000,1
1761494530000,1
1761494535000,1
1761494540000,1
1761494545000,1
1761494550000,1
1761494555000,3
1761494560000,3
1761494565000,3
1761494570000,3
1761494575000,3
1761494580000,3
1761494585000,3
1761494590000,3
1761494595000,3
1761494600000,3
1761494605000,3
1761494610000,3
1761494615000,4
1761494620000,5
1761494625000,5
1761494630000,5
1761494635000,5
1761494640000,5
1761494645000,5
1761494650000,5
1761494655000,5
1761494660000,5
1761494665000,5
1761494670000,5
1761494675000,6
1761494680000,8
1761494685000,9
1761494690000,9
1761494695000,9
1761494700000,9
1761494705000,9
1761494710000,9
1761494715000,9
1761494720000,9
1761494725000,9
1761494730000,9
1761494735000,6
1761494740000,1
1761494745000,1
1761494750000,1
1761494755000,1
1761494760000,1
1761494765000,1
1761494770000,1
1761494775000,1
1761494780000,1
1761494785000,1
1761494790000,1
1761494795000,7
1761494800000,7
1761494805000,7
1761494810000,7
1761494815000,7
1761494820000,7
1761494825000,7
1761494830000,7
1761494835000,7
1761494840000,7
1761494845000,7
1761494850000,7
1761494855000,6
1761494860000,4
1761494865000,3
1761494870000,3
1761494875000,1
1761494880000,1
1761494885000,1
1761494890000,1
1761494895000,3
1761494900000,3
1761494905000,3
1761494910000,1
1761494915000,5
1761494920000,5
1761494925000,5
1761494930000,5
1761494935000,1
1761494940000,1
1761494945000,5
1761494950000,5
1761494955000,1
1761494960000,1
1761494965000,1
1761494970000,5
1761494975000,9
1761494980000,9
1761494985000,9
1761494990000,9
1761494995000,9
1761495000000,9
1761495005000,9
1761495010000,9
1761495015000,9
1761495020000,9
1761495025000,9
1761495030000,9
1761495035000,9
1761495040000,1
1761495045000,1
1761495050000,1
1761495055000,1
1761495060000,1
1761495065000,1
1761495070000,1
1761495075000,1
1761495080000,1
1761495085000,1
1761495090000,1
1761495095000,3
1761495100000,7
1761495105000,7
1761495110000,7
1761495115000,7
1761495120000,7
1761495125000,7
1761495130000,7
1761495135000,7
1761495140000,7
1761495145000,7
1761495150000,7
1761495155000,6
1761495160000,3
1761495165000,3
1761495170000,1
1761495175000,1
1761495180000,1
1761495185000,1
1761495190000,1
1761495195000,3
1761495200000,3
1761495205000,3
1761495210000,3
1761495215000,5
1761495220000,5
1761495225000,5
1761495230000,5
1761495235000,5
1761495240000,5
1761495245000,5
1761495250000,5
1761495255000,5
1761495260000,5
1761495265000,5
1761495270000,5
1761495275000,8
1761495280000,9
1761495285000,9
1761495290000,9
1761495295000,9
1761495300000,9
1761495305000,9
1761495310000,9
1761495315000,9
1761495320000,9
1761495325000,9
1761495330000,9
1761495335000,8
1761495340000,3
1761495345000,3
1761495350000,1
1761495355000,1
1761495360000,1
1761495365000,1
1761495370000,1
1761495375000,1
1761495380000,1
1761495385000,1
1761495390000,1
1761495395000,2
1761495400000,7
1761495405000,7
1761495410000,7
1761495415000,7
1761495420000,7
1761495425000,7
1761495430000,7
1761495435000,7
1761495440000,7
1761495445000,7
1761495450000,7
1761495455000,7
1761495460000,5
1761495465000,3
1761495470000,3
1761495475000,3
1761495480000,1
1761495485000,1
1761495490000,1
1761495495000,1
1761495500000,3
1761495505000,3
1761495510000,3
1761495515000,3
1761495520000,5
1761495525000,5
1761495530000,5
1761495535000,5
1761495540000,5
1761495545000,5
1761495550000,5
1761495555000,5
1761495560000,5
1761495565000,5
1761495570000,5
1761495575000,5
1761495580000,5
1761495585000,8
1761495590000,9
1761495595000,9
1761495600000,9
1761495605000,9
1761495610000,9
1761495615000,9
1761495620000,9
1761495625000,9
1761495630000,9
1761495635000,9
1761495640000,3
1761495645000,1
1761495650000,1
1761495655000,1
1761495660000,1
1761495665000,1
1761495670000,1
1761495675000,1
1761495680000,1
1761495685000,1
1761495690000,1
1761495695000,1
1761495700000,7
1761495705000,7
1761495710000,7
1761495715000,7
1761495720000,7
1761495725000,7
1761495730000,7
1761495735000,7
1761495740000,7
1761495745000,7
1761495750000,7
1761495755000,7
1761495760000,7
1761495765000,7
1761495770000,1
1761495775000,1
1761495780000,1
1761495785000,1
1761495790000,1
1761495795000,1
1761495800000,1
1761495805000,1
1761495810000,1
1761495815000,1
1761495820000,1
