"Time","Arrived","Rejected"
1761494524000,0,0
1761494526000,0,0
1761494528000,0,0
1761494530000,0,0
1761494532000,0,0
1761494534000,0,0
1761494536000,0,0
1761494538000,0,0
1761494540000,0,0
1761494542000,0,0
1761494544000,0,0
1761494546000,0,0
1761494548000,0,0
1761494550000,0.3107,0
1761494552000,0.9321,0
1761494554000,1.5535,0
1761494556000,2.1749,0
1761494558000,2.7963,0
1761494560000,3,0
1761494562000,3,0
1761494564000,3,0
1761494566000,3,0
1761494568000,3,0
1761494570000,3,0
1761494572000,3,0
1761494574000,3,0
1761494576000,3,0
1761494578000,3,0
1761494580000,3,0
1761494582000,3,0
1761494584000,3,0
1761494586000,3,0
1761494588000,3,0
1761494590000,3,0
1761494592000,3,0
1761494594000,3,0
1761494596000,3,0
1761494598000,3,0
1761494600000,3,0
1761494602000,3,0
1761494604000,3,0
1761494606000,3,0
1761494608000,3,0
1761494610000,3.2222222222222223,0
1761494612000,3.666666666666667,0
1761494614000,4.111111111111112,0
1761494616000,4.555555555555556,0
1761494618000,5,0
1761494620000,5,0
1761494622000,5,0
1761494624000,5,0
1761494626000,5,0
1761494628000,5,0
1761494630000,5,0
1761494632000,5,0
1761494634000,5,0
1761494636000,5,0
1761494638000,5,0
1761494640000,5,0
1761494642000,5,0
1761494644000,5,0
1761494646000,5,0
1761494648000,5,0
1761494650000,5,0
1761494652000,5,0
1761494654000,5,0
1761494656000,5,0
1761494658000,5,0
1761494660000,5,0
1761494662000,5,0
1761494664000,5,0
1761494666000,5,0
1761494668000,5,0
1761494670000,5.333333333333334,0
1761494672000,6.222222222222222,0
1761494674000,7.111111111111112,0
1761494676000,8,0
1761494678000,8.88888888888889,0
1761494680000,9,0
1761494682000,9,0.3107
1761494684000,9,0.7249666666666666
1761494686000,9,1.0356666666666667
1761494688000,9,1.1392333333333333
1761494690000,9,1.1392333333333333
1761494692000,9,0.4444444444444445
1761494694000,9,0.22222222222222224
1761494696000,9,0
1761494698000,9,0
1761494700000,9,0.22222222222222224
1761494702000,9,0.22222222222222224
1761494704000,9,0.22222222222222224
1761494706000,9,0.22222222222222224
1761494708000,9,0.22222222222222224
1761494710000,9,0
1761494712000,9,0
1761494714000,9,0
1761494716000,9,0
1761494718000,9,0
1761494720000,9,0
1761494722000,9,0
1761494724000,9,0
1761494726000,9,0
1761494728000,9,0
1761494730000,8.333333333333334,0
1761494732000,6.555555555555556,0
1761494734000,4.777777777777778,0
1761494736000,3,0
1761494738000,1.2222222222222223,0
1761494740000,1,0
1761494742000,1,0
1761494744000,1,0
1761494746000,1,0
1761494748000,1,0
1761494750000,1,0
1761494752000,1,0
1761494754000,1,0
1761494756000,1,0
1761494758000,1,0
1761494760000,1,0
1761494762000,1,0
1761494764000,1,0
1761494766000,1,0
1761494768000,1,0
1761494770000,1,0
1761494772000,1,0
1761494774000,1,0
1761494776000,1,0
1761494778000,1,0
1761494780000,1,0
1761494782000,1,0
1761494784000,1,0
1761494786000,1,0
1761494788000,1,0
1761494790000,1,0
1761494792000,2.2222222222222223,0
1761494794000,3.4444444444444446,0
1761494796000,4.888888888888889,0
1761494798000,6.222222222222222,0
1761494800000,7.000000000000001,0
1761494802000,6.888888888888889,0
1761494804000,7.000000000000001,0
1761494806000,7.000000000000001,0
1761494808000,7.000000000000001,0
1761494810000,7.000000000000001,0
1761494812000,7.000000000000001,0
1761494814000,7.000000000000001,0
1761494816000,7.000000000000001,0
1761494818000,7.000000000000001,0
1761494820000,7.000000000000001,0
1761494822000,7.000000000000001,0
1761494824000,7.000000000000001,0
1761494826000,7.000000000000001,0
1761494828000,7.000000000000001,0
1761494830000,6.888888888888889,0
1761494832000,6.888888888888889,0
1761494834000,6.888888888888889,0
1761494836000,6.888888888888889,0
1761494838000,6.888888888888889,0
1761494840000,7.000000000000001,0
1761494842000,7.000000000000001,0
1761494844000,7.000000000000001,0
1761494846000,7.000000000000001,0
1761494848000,7.000000000000001,0
1761494850000,7.000000000000001,0
1761494852000,6.333333333333334,0
1761494854000,5.444444444444445,0
1761494856000,4.555555555555556,0
1761494858000,3.666666666666667,0
1761494860000,3,0
1761494862000,3,0
1761494864000,3,0
1761494866000,3,0
1761494868000,3,0
1761494870000,3,0
1761494872000,3,0
1761494874000,3,0
1761494876000,3,0
1761494878000,3,0
1761494880000,3,0
1761494882000,3,0
1761494884000,3,0
1761494886000,3,0
1761494888000,3,0
1761494890000,3,0
1761494892000,3,0
1761494894000,3,0
1761494896000,3,0
1761494898000,3,0
1761494900000,3,0
1761494902000,3,0
1761494904000,3,0
1761494906000,3,0
1761494908000,3,0
1761494910000,3,0
1761494912000,3.3333333333333335,0
1761494914000,3.777777777777778,0
1761494916000,4.222222222222222,0
1761494918000,4.666666666666667,0
1761494920000,5,0
1761494922000,5,0
1761494924000,5,0
1761494926000,5,0
1761494928000,5,0
1761494930000,4.998333888703765,0
1761494932000,5,0
1761494934000,5,0
1761494936000,5,0
1761494938000,5,0
1761494940000,5,0
1761494942000,5,0
1761494944000,5,0
1761494946000,5,0
1761494948000,5,0
1761494950000,5,0
1761494952000,5,0
1761494954000,5.002223210315696,0
1761494956000,5,0
1761494958000,5,0
1761494960000,5,0
1761494962000,5,0
1761494964000,5,0
1761494966000,5,0
1761494968000,5,0
1761494970000,5,0
1761494972000,5.555555555555556,0
1761494974000,6.444444444444445,0
1761494976000,7.333333333333334,0
1761494978000,8.222222222222223,0
1761494980000,9,0
1761494982000,9,0
1761494984000,9,0
1761494986000,9,0
1761494988000,9,0
1761494990000,9,0
1761494992000,9,0
1761494994000,9.111111111111112,0
1761494996000,9.111111111111112,0
1761494998000,9.111111111111112,0
1761495000000,9.111111111111112,0
1761495002000,9.111111111111112,0
1761495004000,9,0
1761495006000,9,0
1761495008000,9,0
1761495010000,9,0
1761495012000,9,0
1761495014000,9,0
1761495016000,9,0
1761495018000,9,0
1761495020000,9.111111111111112,0
1761495022000,9,0
1761495024000,9,0
1761495026000,9,0
1761495028000,9,0
1761495030000,9,0
1761495032000,7.777777777777779,0
1761495034000,6,0
1761495036000,4.222222222222222,0
1761495038000,2.4444444444444446,0
1761495040000,1,0
1761495042000,1,0
1761495044000,1,0
1761495046000,1,0
1761495048000,1,0
1761495050000,1,0
1761495052000,1,0
1761495054000,1,0
1761495056000,1,0
1761495058000,1,0
1761495060000,1,0
1761495062000,1,0
1761495064000,1,0
1761495066000,1,0
1761495068000,1,0
1761495070000,1,0
1761495072000,1,0
1761495074000,1,0
1761495076000,1,0
1761495078000,1,0
1761495080000,1,0
1761495082000,1,0
1761495084000,1,0
1761495086000,1,0
1761495088000,1,0
1761495090000,1,0
1761495092000,1.2222222222222223,0
1761495094000,2.555555555555556,0
1761495096000,3.8888888888888893,0
1761495098000,5.222222222222222,0
1761495100000,6.555555555555556,0
1761495102000,7.000000000000001,0
1761495104000,7.000000000000001,0
1761495106000,7.000000000000001,0
1761495108000,7.000000000000001,0
1761495110000,7.000000000000001,0
1761495112000,7.000000000000001,0
1761495114000,7.000000000000001,0
1761495116000,7.000000000000001,0
1761495118000,7.000000000000001,0
1761495120000,7.000000000000001,0
1761495122000,7.000000000000001,0
1761495124000,7.000000000000001,0
1761495126000,7.000000000000001,0
1761495128000,7.000000000000001,0
1761495130000,7.000000000000001,0
1761495132000,7.000000000000001,0
1761495134000,7.000000000000001,0
1761495136000,7.000000000000001,0
1761495138000,7.000000000000001,0
1761495140000,7.000000000000001,0
1761495142000,7.000000000000001,0
1761495144000,7.000000000000001,0
1761495146000,7.000000000000001,0
1761495148000,7.003112494441974,0
1761495150000,7.000000000000001,0
1761495152000,6.777777777777779,0
1761495154000,5.888888888888889,0
1761495156000,5,0
1761495158000,4.111111111111112,0
1761495160000,3.2222222222222223,0
1761495162000,3,0
1761495164000,3,0
1761495166000,3,0
1761495168000,3,0
1761495170000,3,0
1761495172000,3,0
1761495174000,3,0
1761495176000,3,0
1761495178000,3.111111111111111,0
1761495180000,3.111111111111111,0
1761495182000,3.111111111111111,0
1761495184000,3.111111111111111,0
1761495186000,3,0
1761495188000,3,0
1761495190000,3,0
1761495192000,3,0
1761495194000,3,0
1761495196000,3,0
