"Time","K8s Target Replicas"
1761496030000,1
1761496040000,1
1761496050000,1
1761496060000,6
1761496070000,4
1761496080000,1
1761496090000,1
1761496100000,4
1761496110000,1
1761496120000,4
1761496130000,24
1761496140000,1
1761496150000,1
1761496160000,1
1761496170000,1
1761496180000,7
1761496190000,8
1761496200000,6
1761496210000,10
1761496220000,7
1761496230000,1
1761496240000,1
1761496250000,1
1761496260000,1
1761496270000,2
1761496280000,1
1761496290000,1
1761496300000,8
1761496310000,15
1761496320000,1
1761496330000,1
1761496340000,1
1761496350000,1
1761496360000,7
1761496370000,4
1761496380000,1
1761496390000,4
1761496400000,1
1761496410000,1
1761496420000,4
1761496430000,18
1761496440000,1
1761496450000,1
1761496460000,1
1761496470000,1
1761496480000,6
1761496490000,9
1761496500000,6
1761496510000,6
1761496520000,7
1761496530000,1
1761496540000,1
1761496550000,1
1761496560000,1
1761496570000,1
1761496580000,25
1761496590000,1
1761496600000,1
1761496610000,1
1761496620000,1
1761496630000,10
1761496640000,8
1761496650000,10
1761496660000,7
1761496670000,3
1761496680000,1
1761496690000,1
1761496700000,25
1761496710000,25
1761496720000,1
1761496730000,1
1761496740000,1
1761496750000,4
1761496760000,4
1761496770000,4
1761496780000,8
1761496790000,6
1761496800000,1
1761496810000,15
1761496820000,1
1761496830000,1
1761496840000,1
1761496850000,1
1761496860000,15
1761496870000,1
1761496880000,1
1761496890000,1
1761496900000,8
1761496910000,7
1761496920000,9
1761496930000,9
1761496940000,8
1761496950000,8
1761496960000,10
1761496970000,1
1761496980000,1
1761496990000,1
1761497000000,3
1761497010000,3
1761497020000,5
1761497030000,5
1761497040000,5
1761497050000,5
1761497060000,7
1761497070000,6
1761497080000,1
1761497090000,1
1761497100000,10
1761497110000,1
1761497120000,1
1761497130000,1
1761497140000,8
1761497150000,1
1761497160000,1
1761497170000,1
1761497180000,1
1761497190000,3
1761497200000,6
1761497210000,10
1761497220000,8
1761497230000,7
1761497240000,1
1761497250000,1
1761497260000,1
1761497270000,1
1761497280000,3
1761497290000,3
1761497300000,1
1761497310000,1
1761497320000,1
1761497330000,1
1761497340000,1
1761497350000,1
1761497360000,1
1761497370000,1
1761497380000,1
1761497390000,1
