"Time","sum(kube_deployment_status_replicas_available{deployment=""python-service""})"
1760894800000,1
1760894805000,1
1760894810000,1
1760894815000,1
1760894820000,1
1760894825000,1
1760894830000,1
1760894835000,1
1760894840000,1
1760894845000,3
1760894850000,6
1760894855000,6
1760894860000,6
1760894865000,6
1760894870000,6
1760894875000,6
1760894880000,6
1760894885000,6
1760894890000,6
1760894895000,6
1760894900000,6
1760894905000,6
1760894910000,1
1760894915000,5
1760894920000,5
1760894925000,5
1760894930000,5
1760894935000,5
1760894940000,5
1760894945000,5
1760894950000,5
1760894955000,5
1760894960000,7
1760894965000,7
1760894970000,8
1760894975000,10
1760894980000,10
1760894985000,10
1760894990000,11
1760894995000,11
1760895000000,11
1760895005000,11
1760895010000,11
1760895015000,11
1760895020000,12
1760895025000,12
1760895030000,12
1760895035000,12
1760895040000,12
1760895045000,12
1760895050000,12
1760895055000,12
1760895060000,12
1760895065000,12
1760895070000,12
1760895075000,1
1760895080000,1
1760895085000,1
1760895090000,1
1760895095000,15
1760895100000,15
1760895105000,15
1760895110000,15
1760895115000,15
1760895120000,17
1760895125000,20
1760895130000,20
1760895135000,20
1760895140000,20
1760895145000,20
1760895150000,20
1760895155000,20
1760895160000,20
1760895165000,20
1760895170000,20
1760895175000,1
1760895180000,1
1760895185000,1
1760895190000,1
1760895195000,1
1760895200000,1
1760895205000,1
1760895210000,4
1760895215000,4
1760895220000,4
1760895225000,4
1760895230000,5
1760895235000,5
1760895240000,5
1760895245000,5
1760895250000,5
1760895255000,5
1760895260000,5
1760895265000,5
1760895270000,7
1760895275000,8
1760895280000,8
1760895285000,8
1760895290000,8
1760895295000,8
1760895300000,8
1760895305000,8
1760895310000,8
1760895315000,8
1760895320000,8
1760895325000,3
1760895330000,10
1760895335000,10
1760895340000,12
1760895345000,13
1760895350000,15
1760895355000,15
1760895360000,15
1760895365000,28
1760895370000,28
1760895375000,28
1760895380000,28
1760895385000,28
1760895390000,28
1760895395000,28
1760895400000,28
1760895405000,28
1760895410000,1
1760895415000,1
1760895420000,1
1760895425000,1
1760895430000,1
1760895435000,1
1760895440000,1
1760895445000,1
1760895450000,11
1760895455000,11
1760895460000,11
1760895465000,11
1760895470000,11
1760895475000,11
1760895480000,10
1760895485000,10
1760895490000,10
1760895495000,10
1760895500000,11
1760895505000,11
1760895510000,11
1760895515000,11
1760895520000,11
1760895525000,11
1760895530000,11
1760895535000,11
1760895540000,11
1760895545000,11
1760895550000,11
1760895555000,11
1760895560000,11
1760895565000,11
1760895570000,1
1760895575000,1
1760895580000,1
1760895585000,1
1760895590000,1
1760895595000,1
1760895600000,1
1760895605000,4
1760895610000,4
1760895615000,4
1760895620000,4
1760895625000,6
1760895630000,6
1760895635000,6
1760895640000,6
1760895645000,6
1760895650000,6
1760895655000,6
1760895660000,6
1760895665000,13
1760895670000,13
1760895675000,13
1760895680000,13
1760895685000,13
1760895690000,13
1760895695000,13
1760895700000,13
1760895705000,13
1760895710000,17
1760895715000,19
1760895720000,19
1760895725000,19
1760895730000,19
1760895735000,19
1760895740000,19
1760895745000,19
1760895750000,19
1760895755000,19
1760895760000,19
1760895765000,1
1760895770000,1
1760895775000,1
1760895780000,1
1760895785000,1
1760895790000,1
1760895795000,1
1760895800000,1
1760895805000,1
1760895810000,1
1760895815000,7
1760895820000,13
1760895825000,13
1760895830000,13
1760895835000,13
1760895840000,13
1760895845000,13
1760895850000,16
1760895855000,16
1760895860000,16
1760895865000,16
1760895870000,16
1760895875000,16
1760895880000,16
1760895885000,16
1760895890000,16
1760895895000,16
1760895900000,1
1760895905000,1
1760895910000,1
1760895915000,1
1760895920000,1
1760895925000,1
1760895930000,1
1760895935000,2
1760895940000,3
1760895945000,4
1760895950000,4
1760895955000,4
1760895960000,4
1760895965000,7
1760895970000,7
1760895975000,7
1760895980000,7
1760895985000,7
1760895990000,7
1760895995000,7
1760896000000,7
1760896005000,7
1760896010000,7
1760896015000,7
1760896020000,7
1760896025000,1
1760896030000,1
1760896035000,1
1760896040000,1
1760896045000,2
1760896050000,7
1760896055000,7
1760896060000,11
1760896065000,11
1760896070000,11
1760896075000,11
1760896080000,11
1760896085000,11
1760896090000,11
1760896095000,11
1760896100000,11
1760896105000,1
1760896110000,1
1760896115000,1
1760896120000,1
1760896125000,1
1760896130000,1
1760896135000,1
1760896140000,1
1760896145000,1
1760896150000,1
1760896155000,1
1760896160000,1
1760896165000,1
