"Time","K8s Target Replicas"
1761491290000,1
1761491300000,1
1761491310000,1
1761491320000,1
1761491330000,1
1761491340000,3
1761491350000,3
1761491360000,3
1761491370000,3
1761491380000,3
1761491390000,3
1761491400000,5
1761491410000,5
1761491420000,5
1761491430000,5
1761491440000,5
1761491450000,5
1761491460000,7
1761491470000,9
1761491480000,9
1761491490000,9
1761491500000,9
1761491510000,9
1761491520000,9
1761491530000,9
1761491540000,9
1761491550000,9
1761491560000,9
1761491570000,9
1761491580000,9
1761491590000,9
1761491600000,9
1761491610000,9
1761491620000,4
1761491630000,4
1761491640000,4
1761491650000,4
1761491660000,4
1761491670000,4
1761491680000,4
1761491690000,4
1761491700000,5
1761491710000,5
1761491720000,5
1761491730000,5
1761491740000,5
1761491750000,5
1761491760000,9
1761491770000,9
1761491780000,9
1761491790000,9
1761491800000,9
1761491810000,9
1761491820000,9
1761491830000,9
1761491840000,9
1761491850000,9
1761491860000,9
1761491870000,9
1761491880000,9
1761491890000,9
1761491900000,9
1761491910000,9
1761491920000,9
1761491930000,9
1761491940000,9
1761491950000,9
1761491960000,9
1761491970000,9
1761491980000,9
1761491990000,9
1761492000000,7
1761492010000,7
1761492020000,7
1761492030000,7
1761492040000,7
1761492050000,7
1761492060000,7
1761492070000,9
1761492080000,9
1761492090000,9
1761492100000,9
1761492110000,9
1761492120000,9
1761492130000,9
1761492140000,9
1761492150000,9
1761492160000,9
1761492170000,9
1761492180000,9
1761492190000,9
1761492200000,9
1761492210000,7
1761492220000,7
1761492230000,7
1761492240000,7
1761492250000,7
1761492260000,7
1761492270000,7
1761492280000,7
1761492290000,7
1761492300000,7
1761492310000,1
1761492320000,1
1761492330000,1
1761492340000,5
1761492350000,5
1761492360000,7
1761492370000,9
1761492380000,9
1761492390000,9
1761492400000,9
1761492410000,9
1761492420000,9
1761492430000,9
1761492440000,9
1761492450000,9
1761492460000,9
1761492470000,9
1761492480000,9
1761492490000,9
1761492500000,9
1761492510000,9
1761492520000,7
1761492530000,7
1761492540000,7
1761492550000,7
1761492560000,7
1761492570000,7
1761492580000,7
1761492590000,7
1761492600000,7
1761492610000,7
1761492620000,1
1761492630000,1
