"Time","Arrived","Rejected"
1761491292000,0,0
1761491294000,0,0
1761491296000,0,0
1761491298000,0,0
1761491300000,0,0
1761491302000,0,0
1761491304000,0,0
1761491306000,0,0
1761491308000,0,0
1761491310000,0,0
1761491312000,0,0
1761491314000,0,0
1761491316000,0,0
1761491318000,0,0
1761491320000,0,0
1761491322000,0,0
1761491324000,0,0
1761491326000,0,0
1761491328000,0,0
1761491330000,0,0
1761491332000,0,0
1761491334000,0.6576666666666666,0
1761491336000,1.2057222222222221,0
1761491338000,1.9729999999999999,0
1761491340000,2.6306666666666665,0
1761491342000,3,0
1761491344000,3,0
1761491346000,3,0
1761491348000,3,0
1761491350000,3,0
1761491352000,3,0
1761491354000,3,0
1761491356000,3,0
1761491358000,3,0
1761491360000,3,0
1761491362000,3,0
1761491364000,3,0
1761491366000,3,0
1761491368000,3,0
1761491370000,3,0
1761491372000,3,0
1761491374000,3,0
1761491376000,3,0
1761491378000,3,0
1761491380000,3,0
1761491382000,3,0
1761491384000,3,0
1761491386000,3,0
1761491388000,3,0
1761491390000,3,0
1761491392000,3,0
1761491394000,3.3333333333333335,0
1761491396000,3.777777777777778,0
1761491398000,4.222222222222222,0
1761491400000,4.666666666666667,0
1761491402000,5,0
1761491404000,5,0
1761491406000,5,0
1761491408000,5,0
1761491410000,5,0
1761491412000,5,0
1761491414000,5,0
1761491416000,5,0
1761491418000,5,0
1761491420000,5,0
1761491422000,5,0
1761491424000,5,0
1761491426000,5,0
1761491428000,5,0
1761491430000,5,0
1761491432000,5,0
1761491434000,5,0
1761491436000,5,0
1761491438000,5,0
1761491440000,5,0
1761491442000,5,0
1761491444000,5,0
1761491446000,5,0
1761491448000,5,0
1761491450000,5,0
1761491452000,5,0
1761491454000,5.777777777777779,0
1761491456000,6.666666666666667,0
1761491458000,7.555555555555556,0
1761491460000,8.444444444444445,0
1761491462000,9,0
1761491464000,9,0
1761491466000,9,0
1761491468000,9,0
1761491470000,9,0
1761491472000,9,0.2192222222222222
1761491474000,9,0.2192222222222222
1761491476000,9,0.3288333333333333
1761491478000,9,0.9864999999999999
1761491480000,9,1.4444444444444446
1761491482000,9,1.3333333333333335
1761491484000,9,1.2222222222222223
1761491486000,9,1.1111111111111112
1761491488000,9.111111111111112,0.4444444444444445
1761491490000,9.111111111111112,0
1761491492000,9.111111111111112,0
1761491494000,9.111111111111112,0
1761491496000,9,0
1761491498000,9,0
1761491500000,9,0.11111111111111112
1761491502000,9,0.22222222222222224
1761491504000,9,0.5555555555555556
1761491506000,8.88888888888889,0.5555555555555556
1761491508000,9,0.5555555555555556
1761491510000,9,0.4444444444444445
1761491512000,9,0
1761491514000,7.444444444444445,0
1761491516000,5.666666666666667,0
1761491518000,3.8888888888888893,0
1761491520000,2.111111111111111,0
1761491522000,1,0
1761491524000,1,0
1761491526000,1,0
1761491528000,1,0
1761491530000,1,0
1761491532000,1,0
1761491534000,1,0
1761491536000,1,0
1761491538000,1,0
1761491540000,1,0
1761491542000,1,0
1761491544000,1,0
1761491546000,1,0
1761491548000,1,0
1761491550000,1,0
1761491552000,1,0
1761491554000,1,0
1761491556000,1,0
1761491558000,1,0
1761491560000,1,0
1761491562000,1,0
1761491564000,1,0
1761491566000,1,0
1761491568000,1,0
1761491570000,1,0
1761491572000,1,0
1761491574000,1.4444444444444446,0
1761491576000,2.777777777777778,0
1761491578000,4.111111111111112,0
1761491580000,5.444444444444445,0
1761491582000,6.777777777777779,0
1761491584000,7.000000000000001,0
1761491586000,7.000000000000001,0
1761491588000,7.000000000000001,0
1761491590000,7.000000000000001,0
1761491592000,7.000000000000001,0
1761491594000,7.000000000000001,0
1761491596000,7.000000000000001,0
1761491598000,7.000000000000001,0
1761491600000,7.000000000000001,0
1761491602000,7.000000000000001,0
1761491604000,7.000000000000001,0
1761491606000,7.000000000000001,0
1761491608000,7.000000000000001,0
1761491610000,7.000000000000001,0
1761491612000,7.000000000000001,0
1761491614000,7.000000000000001,0
1761491616000,7.000000000000001,0
1761491618000,7.000000000000001,0
1761491620000,7.000000000000001,0
1761491622000,7.000000000000001,0
1761491624000,7.000000000000001,0
1761491626000,7.000000000000001,0
1761491628000,7.000000000000001,0
1761491630000,7.000000000000001,0
1761491632000,7.000000000000001,0
1761491634000,6.666666666666667,0
1761491636000,5.777777777777779,0
1761491638000,4.888888888888889,0
1761491640000,4,0
1761491642000,3.111111111111111,0
1761491644000,3,0
1761491646000,3,0
1761491648000,3,0
1761491650000,3,0
1761491652000,3,0
1761491654000,3,0
1761491656000,3,0
1761491658000,3,0
1761491660000,3,0
1761491662000,3,0
1761491664000,3,0
1761491666000,3,0
1761491668000,3.111111111111111,0
1761491670000,3.111111111111111,0
1761491672000,3.111111111111111,0
1761491674000,3.111111111111111,0
1761491676000,3,0
1761491678000,3,0
1761491680000,3,0
1761491682000,3,0
1761491684000,3,0
1761491686000,3,0
1761491688000,3,0
1761491690000,3,0
1761491692000,3,0
1761491694000,3,0
1761491696000,3.4444444444444446,0
1761491698000,3.8888888888888893,0
1761491700000,4.333333333333334,0
1761491702000,4.777777777777778,0
1761491704000,5,0
1761491706000,5,0
1761491708000,5,0
1761491710000,5,0
1761491712000,5,0
1761491714000,5,0
1761491716000,5,0
1761491718000,5,0
1761491720000,5,0
1761491722000,5,0
1761491724000,5,0
1761491726000,5,0
1761491728000,5,0
1761491730000,5,0
1761491732000,5,0
1761491734000,5,0
1761491736000,5,0
1761491738000,5,0
1761491740000,5,0
1761491742000,5,0
1761491744000,5,0
1761491746000,5,0
1761491748000,5,0
1761491750000,5,0
1761491752000,5,0
1761491754000,5.222222222222222,0
1761491756000,6.111111111111112,0
1761491758000,7.000000000000001,0
1761491760000,7.888888888888889,0
1761491762000,8.777777777777779,0
1761491764000,9,0
1761491766000,9,0
1761491768000,9,0
1761491770000,9,0
1761491772000,9,0
1761491774000,9,0
1761491776000,9,0
1761491778000,9,0
1761491780000,9,0
1761491782000,9,0
1761491784000,9,0
1761491786000,9,0
1761491788000,9,0
1761491790000,9,0
1761491792000,9,0
1761491794000,9,0
1761491796000,9,0
1761491798000,9,0
1761491800000,9,0
1761491802000,9,0
1761491804000,9,0
1761491806000,9,0
1761491808000,9,0
1761491810000,9,0
1761491812000,9,0
1761491814000,8.777777777777779,0
1761491816000,7.000000000000001,0
1761491818000,5.222222222222222,0
1761491820000,3.4444444444444446,0
1761491822000,1.6666666666666667,0
1761491824000,1,0
1761491826000,1,0
1761491828000,1,0
1761491830000,1,0
1761491832000,1,0
1761491834000,1,0
1761491836000,1,0
1761491838000,1,0
1761491840000,1,0
1761491842000,1,0
1761491844000,1,0
1761491846000,1,0
1761491848000,1,0
1761491850000,1,0
1761491852000,1,0
1761491854000,1,0
1761491856000,1,0
1761491858000,1,0
1761491860000,1,0
1761491862000,1,0
1761491864000,1,0
1761491866000,1,0
1761491868000,1,0
1761491870000,1,0
1761491872000,1,0
1761491874000,1,0
1761491876000,1.888888888888889,0
1761491878000,3.2222222222222223,0
1761491880000,4.555555555555556,0
1761491882000,5.888888888888889,0
1761491884000,7.000000000000001,0
1761491886000,7.000000000000001,0
1761491888000,7.111111111111112,0
1761491890000,7.000000000000001,0
1761491892000,7.000000000000001,0
1761491894000,7.111111111111112,0
1761491896000,7.000000000000001,0
1761491898000,7.000000000000001,0
1761491900000,7.000000000000001,0
1761491902000,6.888888888888889,0
1761491904000,6.888888888888889,0
1761491906000,6.888888888888889,0
1761491908000,7.000000000000001,0
1761491910000,7.000000000000001,0
1761491912000,7.000000000000001,0
1761491914000,7.000000000000001,0
1761491916000,7.000000000000001,0
1761491918000,7.000000000000001,0
1761491920000,7.000000000000001,0
1761491922000,7.000000000000001,0
1761491924000,7.000000000000001,0
1761491926000,7.000000000000001,0
1761491928000,7.000000000000001,0
1761491930000,7.000000000000001,0
1761491932000,7.000000000000001,0
1761491934000,7.000000000000001,0
1761491936000,6.444444444444445,0
1761491938000,5.555555555555556,0
1761491940000,4.666666666666667,0
