"Time","K8s Target Replicas"
1761487990000,1
1761488000000,1
1761488010000,2
1761488020000,4
1761488030000,5
1761488040000,5
1761488050000,5
1761488060000,5
1761488070000,16
1761488080000,16
1761488090000,16
1761488100000,16
1761488110000,16
1761488120000,16
1761488130000,1
1761488140000,1
1761488150000,1
1761488160000,1
1761488170000,6
1761488180000,9
1761488190000,9
1761488200000,9
1761488210000,9
1761488220000,7
1761488230000,7
1761488240000,7
1761488250000,7
1761488260000,10
1761488270000,12
1761488280000,15
1761488290000,15
1761488300000,15
1761488310000,15
1761488320000,15
1761488330000,15
1761488340000,1
1761488350000,1
1761488360000,1
1761488370000,1
1761488380000,4
1761488390000,5
1761488400000,6
1761488410000,6
1761488420000,6
1761488430000,6
1761488440000,8
1761488450000,8
1761488460000,9
1761488470000,9
1761488480000,9
1761488490000,9
1761488500000,7
1761488510000,7
1761488520000,7
1761488530000,7
1761488540000,7
1761488550000,7
1761488560000,14
1761488570000,14
1761488580000,14
1761488590000,14
1761488600000,14
1761488610000,10
1761488620000,10
1761488630000,10
1761488640000,10
1761488650000,10
1761488660000,10
1761488670000,1
1761488680000,1
1761488690000,1
1761488700000,5
1761488710000,6
1761488720000,11
1761488730000,11
1761488740000,11
1761488750000,11
1761488760000,11
1761488770000,11
1761488780000,1
1761488790000,1
1761488800000,1
1761488810000,1
1761488820000,1
1761488830000,1
1761488840000,11
1761488850000,11
1761488860000,11
1761488870000,11
1761488880000,11
1761488890000,10
1761488900000,10
1761488910000,10
1761488920000,10
1761488930000,10
1761488940000,10
1761488950000,1
1761488960000,1
1761488970000,1
1761488980000,1
1761488990000,6
1761489000000,6
1761489010000,6
1761489020000,10
1761489030000,10
1761489040000,10
1761489050000,10
1761489060000,10
1761489070000,10
1761489080000,8
1761489090000,8
1761489100000,8
1761489110000,8
1761489120000,8
1761489130000,8
1761489140000,1
1761489150000,1
1761489160000,13
1761489170000,13
1761489180000,25
1761489190000,25
1761489200000,25
1761489210000,25
1761489220000,25
1761489230000,25
1761489240000,1
1761489250000,1
1761489260000,1
1761489270000,1
