"Time","Rejection Rate"
1760349245000,0
1760349250000,0
1760349255000,0
1760349260000,0
1760349265000,0
1760349270000,0
1760349275000,0
1760349280000,0
1760349285000,0
1760349290000,0
1760349295000,0
1760349300000,0
1760349305000,0
1760349310000,0
1760349315000,0
1760349320000,0
1760349325000,0
1760349330000,0
1760349335000,0
1760349340000,0
1760349345000,0
1760349350000,0
1760349355000,0
1760349360000,0
1760349365000,0
1760349370000,0
1760349375000,0
1760349380000,0
1760349385000,0
1760349390000,0
1760349395000,0
1760349400000,0
1760349405000,0
1760349410000,0
1760349415000,0
1760349420000,0
1760349425000,0
1760349430000,0
1760349435000,0
1760349440000,0
1760349445000,0
1760349450000,0
1760349455000,0
1760349460000,0
1760349465000,0
1760349470000,0
1760349475000,0
1760349480000,0
1760349485000,0
1760349490000,0
1760349495000,0
1760349500000,0
1760349505000,0
1760349510000,0
1760349515000,0
1760349520000,0
1760349525000,0
1760349530000,0
1760349535000,0
1760349540000,0
1760349545000,0
1760349550000,0
1760349555000,0
1760349560000,0
1760349565000,0
1760349570000,0
1760349575000,0
1760349580000,0
1760349585000,0
1760349590000,0
1760349595000,0
1760349600000,0
1760349605000,0
1760349610000,0
1760349615000,0
1760349620000,0
1760349625000,0
1760349630000,0
1760349635000,0
1760349640000,0
1760349645000,0
1760349650000,0
1760349655000,0
1760349660000,0
1760349665000,0
1760349670000,0
1760349675000,0
1760349680000,0
1760349685000,0
1760349690000,0
1760349695000,0
1760349700000,0
1760349705000,0
1760349710000,0
1760349715000,0
1760349720000,0
1760349725000,0
1760349730000,0
1760349735000,0
1760349740000,0
1760349745000,0
1760349750000,0
1760349755000,0
1760349760000,0
1760349765000,0
1760349770000,0
1760349775000,0
1760349780000,0
1760349785000,0
1760349790000,0
1760349795000,0
1760349800000,0
1760349805000,0
1760349810000,0
1760349815000,0
1760349820000,0
1760349825000,0
1760349830000,0
1760349835000,0
1760349840000,0
1760349845000,0
1760349850000,0
1760349855000,0
1760349860000,0
1760349865000,0
1760349870000,0
1760349875000,0
1760349880000,0
1760349885000,0
1760349890000,0
1760349895000,0
