"Time","{__name__=""kube_deployment_status_replicas"", deployment=""python-service"", instance=""kube-state-metrics:8080"", job=""kube-state-metrics"", namespace=""oris-predictive-autoscaler""}"
1760350040000,1
1760350045000,1
1760350050000,1
1760350055000,1
1760350060000,1
1760350065000,3
1760350070000,3
1760350075000,3
1760350080000,3
1760350085000,2
1760350090000,2
1760350095000,1
1760350100000,1
1760350105000,1
1760350110000,1
1760350115000,7
1760350120000,7
1760350125000,7
1760350130000,4
1760350135000,4
1760350140000,4
1760350145000,4
1760350150000,1
1760350155000,1
1760350160000,5
1760350165000,5
1760350170000,5
1760350175000,1
1760350180000,9
1760350185000,9
1760350190000,9
1760350195000,10
1760350200000,10
1760350205000,11
1760350210000,11
1760350215000,11
1760350220000,11
1760350225000,9
1760350230000,9
1760350235000,9
1760350240000,9
1760350245000,1
1760350250000,1
1760350255000,1
1760350260000,1
1760350265000,1
1760350270000,1
1760350275000,1
1760350280000,1
1760350285000,4
1760350290000,4
1760350295000,4
1760350300000,4
1760350305000,5
1760350310000,5
1760350315000,6
1760350320000,6
1760350325000,6
1760350330000,1
1760350335000,1
1760350340000,6
1760350345000,6
1760350350000,6
1760350355000,4
1760350360000,4
1760350365000,13
1760350370000,13
1760350375000,11
1760350380000,11
1760350385000,8
1760350390000,8
1760350395000,11
1760350400000,11
1760350405000,11
1760350410000,1
1760350415000,1
1760350420000,1
1760350425000,1
1760350430000,1
1760350435000,1
1760350440000,1
1760350445000,3
1760350450000,3
1760350455000,1
1760350460000,3
1760350465000,3
1760350470000,8
1760350475000,8
1760350480000,8
1760350485000,1
1760350490000,1
1760350495000,1
1760350500000,1
1760350505000,1
1760350510000,1
1760350515000,5
1760350520000,5
1760350525000,5
1760350530000,4
1760350535000,4
1760350540000,8
1760350545000,8
1760350550000,10
1760350555000,10
1760350560000,9
1760350565000,9
1760350570000,10
1760350575000,10
1760350580000,10
1760350585000,9
1760350590000,9
1760350595000,9
1760350600000,9
1760350605000,1
1760350610000,1
1760350615000,1
1760350620000,1
1760350625000,1
1760350630000,1
1760350635000,1
1760350640000,1
1760350645000,1
1760350650000,2
1760350655000,2
1760350660000,3
1760350665000,3
1760350670000,5
1760350675000,5
1760350680000,4
1760350685000,4
1760350690000,6
1760350695000,6
1760350700000,6
1760350705000,1
