"Time","sum(kube_pod_status_phase{namespace=""oris-predictive-autoscaler"", pod=~""python-service.*""})"
1760345960000,1
1760345965000,1
1760345970000,1
1760345975000,1
1760345980000,1
1760345985000,2
1760345990000,2
1760345995000,2
1760346000000,2
1760346005000,2
1760346010000,2
1760346015000,2
1760346020000,2
1760346025000,2
1760346030000,2
1760346035000,3
1760346040000,2
1760346045000,4
1760346050000,4
1760346055000,4
1760346060000,4
1760346065000,4
1760346070000,4
1760346075000,4
1760346080000,4
1760346085000,4
1760346090000,4
1760346095000,4
1760346100000,6
1760346105000,6
1760346110000,7
1760346115000,7
1760346120000,7
1760346125000,7
1760346130000,7
1760346135000,7
1760346140000,7
1760346145000,7
1760346150000,7
1760346155000,7
1760346160000,8
1760346165000,8
1760346170000,8
1760346175000,8
1760346180000,8
1760346185000,8
1760346190000,8
1760346195000,8
1760346200000,8
1760346205000,8
1760346210000,8
1760346215000,8
1760346220000,8
1760346225000,8
1760346230000,8
1760346235000,8
1760346240000,8
1760346245000,8
1760346250000,8
1760346255000,8
1760346260000,2
1760346265000,2
1760346270000,2
1760346275000,2
1760346280000,4
1760346285000,4
1760346290000,4
1760346295000,4
1760346300000,7
1760346305000,7
1760346310000,7
1760346315000,7
1760346320000,7
1760346325000,10
1760346330000,10
1760346335000,7
1760346340000,7
1760346345000,7
1760346350000,7
1760346355000,10
1760346360000,10
1760346365000,7
1760346370000,7
1760346375000,9
1760346380000,9
1760346385000,9
1760346390000,9
1760346395000,9
1760346400000,14
1760346405000,14
1760346410000,14
1760346415000,14
1760346420000,14
1760346425000,14
1760346430000,8
1760346435000,15
1760346440000,15
1760346445000,15
1760346450000,15
1760346455000,8
1760346460000,8
1760346465000,8
1760346470000,8
1760346475000,8
1760346480000,8
1760346485000,8
1760346490000,1
1760346495000,1
1760346500000,2
1760346505000,2
1760346510000,2
1760346515000,2
1760346520000,4
1760346525000,4
1760346530000,5
1760346535000,5
1760346540000,5
1760346545000,5
1760346550000,4
1760346555000,7
1760346560000,7
1760346565000,7
1760346570000,7
1760346575000,7
1760346580000,7
1760346585000,10
1760346590000,10
1760346595000,10
1760346600000,10
1760346605000,10
1760346610000,10
1760346615000,7
1760346620000,7
